dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
full_explicit,70,304.5224027154908,4609360,383884,24819205,1279985,31092434,22.114285714285714,0.7971428571428572,0.9771428571428572,0.883030303030303,0.8815714285714286,0.9314285714285715,0.5285714285714286,1.7621621621621621
goal_miss,70,374.5445978775118,5250365,431461,31012940,1315932,38010698,25.04857142857143,0.8085714285714286,0.9085714285714286,0.8468181818181818,0.8614285714285714,0.8771428571428571,0.5285714285714286,1.6594594594594594
goal_ambiguity,70,359.27433637013917,5166525,423806,29869666,1325390,36785387,24.50857142857143,0.82,0.9314285714285715,0.8650000000000001,0.873,0.8785714285714286,0.5571428571428572,1.5769230769230769
action_miss,70,333.1793017627987,4952874,397374,27005875,1255167,33611290,23.217142857142857,0.26285714285714284,0.8057142857142857,0.531060606060606,0.5259514285714286,0.3228571428571429,0.04285714285714286,7.533333333333334
action_ambiguity,70,392.8504461970616,5697345,497544,32062361,1315208,39572458,26.5,0.35714285714285715,0.7942857142857143,0.5765151515151514,0.5758571428571428,0.42428571428571427,0.11428571428571428,3.7125
tool_miss,70,334.2550221462592,4955969,396478,27438821,1288335,34079603,23.265714285714285,0.7,0.9028571428571429,0.7922727272727272,0.7991914285714286,0.7557142857142857,0.4714285714285714,1.603030303030303
tool_ambiguity,70,371.1400929307388,5845204,425236,30021437,1336159,37628036,25.41142857142857,0.8371428571428572,0.94,0.8803030303030304,0.8812857142857142,0.88,0.6428571428571429,1.3688888888888888
