dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
full_explicit,154,463.80148126644656,20481403,585141,34478614,0,55545158,22.863635714285714,0.9372294480519481,0.9978355,0.9672077857142857,0.9655844155844155,0.9675324675324676,0.8961038961038961,1.0797101449275364
goal_miss,154,507.20962561638964,22356702,582048,36989833,0,59928583,24.322512987012985,0.8917749090909091,0.9025974025974026,0.8968614545454544,0.941883116883117,0.8701298701298701,0.7597402597402597,1.1452991452991452
goal_ambiguity,154,514.6489824893333,22529325,581194,38079737,0,61190256,24.7316,0.9069264285714287,0.915584422077922,0.9099566883116883,0.9417748917748917,0.8896103896103896,0.7532467532467533,1.1810344827586208
action_miss,154,586.834250054615,26803702,706607,44472373,0,71982682,28.487015584415584,0.4242424285714285,0.7878787792207792,0.6025973961038961,0.8096515151515151,0.4805194805194805,0.2012987012987013,2.387096774193548
action_ambiguity,154,627.2832760852425,30669161,786639,45717383,0,77173183,30.1645012987013,0.532467551948052,0.8268398311688311,0.6761904480519481,0.8433225108225109,0.5909090909090909,0.37012987012987014,1.5964912280701755
tool_miss,154,586.5225687297242,26395114,640081,43030605,0,70065800,26.31168896103896,0.7987013116883117,0.948051961038961,0.8728354935064935,0.868181818181818,0.8571428571428571,0.7077922077922078,1.2110091743119267
tool_ambiguity,154,520.1611157582487,24494181,642721,37691892,0,62828794,25.216449350649352,0.8852814090909091,0.926406935064935,0.9058441363636364,0.934487012987013,0.8831168831168831,0.7337662337662337,1.2035398230088497
